,status,duration,amount,savings,employment_duration,installment_rate,present_residence,age,number_credits,credit_risk,credit_history_critical account/other credits elsewhere,credit_history_delay in paying off in the past,credit_history_existing credits paid back duly till now,credit_history_no credits taken/all credits paid back duly,purpose_car (new),purpose_car (used),purpose_domestic appliances,purpose_furniture/equipment,purpose_others,purpose_radio/television,purpose_repairs,purpose_retraining,purpose_vacation,personal_status_sex_female : single,personal_status_sex_male : divorced/separated,personal_status_sex_male : married/widowed,property_car or other,property_real estate,property_unknown/no property,telephone_yes (under customer name)
0,1,18,1049,1,2,1,4,21,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,9,2799,1,3,3,2,36,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
2,2,12,841,2,4,3,4,23,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
3,1,12,2122,1,3,2,2,39,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
4,1,12,2171,1,3,1,4,38,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
5,1,10,2241,1,2,4,3,48,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
6,1,8,3398,1,4,4,4,39,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
7,1,6,1361,1,2,3,4,40,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
8,4,18,1098,1,1,1,4,65,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
9,2,24,3758,3,1,4,4,23,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
10,1,11,3905,1,3,3,2,36,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
11,1,30,6187,2,4,4,4,24,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12,1,6,1957,1,4,4,4,31,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13,2,48,7582,2,1,3,4,31,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
14,1,18,1936,5,4,3,4,23,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
15,1,6,2647,3,3,3,3,44,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
16,1,11,3939,1,3,4,2,40,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
17,2,18,3213,3,2,4,3,25,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
18,2,36,2337,1,5,1,4,36,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
19,4,11,7228,1,3,4,4,39,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
20,1,6,3676,1,3,4,3,37,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
21,2,12,3124,1,2,4,3,49,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
22,2,36,2384,1,2,1,1,33,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
23,2,12,1424,1,4,1,3,26,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0
24,1,6,4716,5,2,4,3,44,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
25,2,11,4771,1,4,3,4,51,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
26,1,12,652,1,5,1,4,24,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
27,2,9,1154,1,5,3,4,37,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
28,4,15,3556,5,3,2,2,29,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
29,3,42,4796,1,5,1,4,56,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
30,3,30,3017,1,5,1,4,47,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
31,4,36,3535,1,4,1,4,37,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
32,4,36,6614,1,5,1,4,34,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
33,4,24,1376,3,4,1,1,28,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
34,1,15,1721,1,2,3,3,36,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
35,1,6,860,1,5,4,4,39,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
36,4,12,1495,1,5,1,1,38,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
37,4,12,1934,1,5,3,2,26,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
38,4,18,3378,5,3,3,1,31,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
39,4,24,3868,1,5,1,2,41,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
40,4,12,996,5,4,1,4,23,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
41,1,24,1755,1,5,1,4,58,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
42,4,18,1028,1,3,1,3,36,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
43,2,24,2825,5,4,1,3,34,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
44,2,18,1239,5,3,1,4,61,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
45,1,18,1216,1,2,1,3,23,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
46,4,24,1258,1,4,1,1,25,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
47,4,18,1864,2,3,1,2,30,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
48,4,24,1474,2,2,1,3,33,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
49,1,24,1382,2,4,1,1,26,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
50,4,12,640,1,3,1,2,49,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
51,3,36,3919,1,3,3,2,23,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
52,4,9,1224,1,3,2,1,30,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
53,4,12,2331,5,5,4,4,49,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
54,4,24,6313,5,5,2,4,41,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
55,1,12,385,1,4,1,3,58,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
56,4,12,1655,1,5,3,4,63,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
57,1,15,1053,1,2,1,2,27,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
58,4,21,3160,5,5,1,3,41,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
59,4,36,3079,5,3,1,4,36,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
60,4,12,1163,3,3,1,4,44,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
61,4,24,2679,1,2,1,1,29,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
62,4,48,3578,5,5,1,1,47,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
63,4,36,10875,1,5,3,2,45,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
64,1,12,1344,1,3,1,2,43,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
65,4,6,1237,2,3,4,1,27,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
66,4,12,3077,1,3,3,4,52,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
67,4,24,2284,1,4,1,2,28,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
68,2,12,1567,1,3,4,1,22,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
69,4,24,2032,1,5,1,4,60,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
70,2,21,2745,4,4,2,2,32,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
71,4,30,1867,5,5,1,4,58,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
72,4,36,2299,3,5,1,4,39,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
73,4,24,929,5,4,1,2,31,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
74,3,12,3399,5,5,3,3,37,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
75,2,9,2030,5,4,3,1,24,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
76,4,21,3275,1,5,4,4,36,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
77,4,24,1940,4,5,1,4,60,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
78,1,21,1602,1,5,1,3,30,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
79,4,15,1979,5,5,1,2,35,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
80,4,24,2022,1,3,1,4,37,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
81,4,36,3342,5,5,1,2,51,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
82,2,18,5866,2,3,3,2,30,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
83,3,15,2360,3,3,3,2,36,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
84,4,15,1520,5,5,1,4,63,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
85,1,12,3651,4,3,4,3,31,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
86,4,24,2346,1,4,1,3,35,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
87,4,36,4454,1,3,1,4,34,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
88,1,6,666,4,4,2,4,39,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
89,2,24,1965,5,3,1,4,42,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
90,2,12,1995,2,2,1,1,27,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
91,2,30,2991,5,5,3,4,25,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
92,2,30,4221,1,3,3,1,28,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
93,1,9,1364,1,4,2,4,59,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
94,2,18,6361,1,5,3,1,41,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1
95,4,27,4526,4,2,1,2,32,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
96,2,12,3573,1,3,4,1,23,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
97,2,36,4455,1,3,3,2,30,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
98,1,9,2136,1,3,2,2,25,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
99,2,42,5954,1,4,3,1,41,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
100,4,24,3777,4,3,1,4,40,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
101,1,15,806,1,3,1,4,22,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
102,2,24,4712,5,3,1,2,34,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1
103,2,36,7432,1,3,3,2,54,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
104,4,24,1851,1,4,1,2,33,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
105,4,24,1393,1,3,3,2,31,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
106,4,12,1412,1,3,1,2,29,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
107,4,18,1473,1,2,2,4,39,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1
108,4,24,1533,1,2,1,3,38,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
109,4,12,2012,5,4,1,2,61,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
110,1,15,3959,1,3,2,2,29,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1
111,1,6,428,1,5,3,1,49,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
112,2,12,2366,3,4,2,3,36,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
113,4,12,763,1,3,1,1,26,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
114,2,21,3976,5,4,3,3,35,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
115,2,18,6260,1,4,2,3,28,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
116,2,9,1919,1,4,1,3,35,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
117,4,24,2603,4,3,3,4,28,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
118,4,9,936,3,5,1,2,52,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1
119,4,24,3062,3,5,1,3,32,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1
120,2,36,4795,1,2,1,1,30,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1
121,4,36,5842,1,5,3,2,35,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
122,2,6,2063,1,2,1,3,30,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
123,4,15,1459,1,3,1,2,43,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
124,4,15,1213,3,5,1,3,47,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
125,4,24,5103,1,2,2,3,47,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1
126,4,15,874,5,2,1,1,24,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
127,4,6,2978,3,3,4,2,32,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
128,4,18,1820,1,3,3,2,30,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
129,4,24,2872,2,5,2,4,36,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
130,3,24,1925,1,3,3,2,26,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
131,4,18,2515,1,3,2,4,43,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
132,3,6,2116,1,3,3,2,41,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
133,4,18,1453,1,2,2,1,26,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
134,4,10,1364,1,3,3,4,64,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
135,4,6,1543,4,3,1,2,33,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
136,2,12,1318,4,5,1,4,54,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
137,1,24,2325,2,4,3,3,32,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
138,2,6,932,5,4,4,3,39,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
139,3,24,3148,5,3,2,2,31,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
140,4,36,3835,5,5,3,4,45,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1
141,4,9,3832,5,5,4,4,64,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
142,2,24,5084,5,5,3,4,42,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
143,4,9,2406,1,1,3,3,31,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
144,4,36,2394,5,3,1,4,25,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
145,4,21,2476,5,5,1,4,46,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
146,1,24,2964,5,5,1,4,49,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
147,1,12,1262,5,5,3,4,49,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1
148,4,12,1542,1,4,3,4,36,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
149,2,24,1743,1,5,1,2,48,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
150,3,12,409,4,3,2,3,42,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
151,4,12,2171,1,2,3,2,29,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
152,4,48,8858,5,4,3,1,35,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
153,2,24,3512,2,4,3,3,38,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
154,2,12,1158,3,3,2,1,26,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
155,4,24,2684,1,3,1,2,35,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
156,1,12,1498,1,3,1,1,23,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
157,4,30,5954,1,4,2,2,38,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
158,2,48,6416,1,5,1,3,59,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
159,2,12,3617,1,5,4,4,28,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
160,4,12,1291,1,3,1,2,35,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
161,3,24,1275,4,3,3,4,36,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
162,4,24,3972,1,4,3,4,25,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
163,4,15,3343,1,3,1,2,28,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1
164,3,15,392,1,2,1,4,23,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1
165,4,9,2134,1,3,1,4,48,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
166,4,30,5771,1,4,1,2,25,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
167,4,24,4526,1,3,2,2,74,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
168,4,15,2788,1,4,3,3,24,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,4,6,1382,1,3,4,1,28,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
170,3,36,5848,1,3,1,1,24,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
171,1,12,1228,1,3,1,2,24,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
172,3,12,1297,1,3,2,4,23,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
173,4,24,1552,1,4,2,1,32,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
174,4,12,1963,1,4,1,2,31,2,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
175,4,24,3235,3,5,2,2,36,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
176,4,24,4139,2,3,2,3,27,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1
177,2,12,1804,2,2,2,4,44,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
178,4,18,1950,1,4,1,1,34,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
179,4,48,12749,3,4,1,1,37,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
180,4,9,1236,1,2,4,4,23,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
181,4,18,1055,1,2,1,1,30,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
182,1,30,8072,5,2,3,3,25,3,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
183,4,30,2831,1,3,1,2,33,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
184,4,9,1449,1,4,2,2,27,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
185,4,36,5742,2,4,3,2,31,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
186,4,12,2390,5,5,1,3,50,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
187,4,24,3430,3,5,2,2,31,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
188,2,36,2273,1,4,2,1,32,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
189,3,21,2923,2,3,4,1,28,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
190,4,24,1901,2,3,1,4,29,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
191,2,36,3711,5,3,3,2,27,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
