,status,duration,amount,savings,employment_duration,installment_rate,present_residence,age,number_credits,credit_risk,credit_history_critical account/other credits elsewhere,credit_history_delay in paying off in the past,credit_history_existing credits paid back duly till now,credit_history_no credits taken/all credits paid back duly,purpose_car (new),purpose_car (used),purpose_domestic appliances,purpose_furniture/equipment,purpose_others,purpose_radio/television,purpose_repairs,purpose_retraining,purpose_vacation,personal_status_sex_female : single,personal_status_sex_male : divorced/separated,personal_status_sex_male : married/widowed,property_car or other,property_real estate,property_unknown/no property,telephone_yes (under customer name)
192,2,48,8487,5,4,4,2,24,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
193,4,24,2255,5,2,1,1,54,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
194,4,12,1262,1,3,2,2,25,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
195,4,33,7253,1,4,2,2,35,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
196,4,6,6761,1,4,4,3,45,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
197,4,18,1817,1,3,1,2,28,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
198,4,12,2141,2,4,2,1,35,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0
199,4,48,3609,1,3,4,1,27,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
200,4,30,2333,3,5,1,2,30,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
201,4,28,7824,5,2,2,4,40,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
202,3,18,1445,5,4,1,4,49,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
203,1,24,7721,5,2,4,2,30,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
204,1,21,3763,5,4,3,2,24,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
205,2,18,4439,1,5,4,1,33,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1
206,1,12,1107,1,3,3,2,20,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
207,2,15,1444,5,2,1,1,23,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
208,2,48,12169,5,1,1,4,36,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
209,4,9,2753,2,5,2,4,35,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
210,3,4,1494,5,2,4,2,29,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
211,1,24,2828,3,3,1,4,22,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
212,1,24,2483,3,3,1,4,22,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
213,3,6,1299,1,3,4,1,74,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
214,2,9,1549,5,2,1,2,35,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
215,3,10,3949,1,2,4,1,37,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
216,4,10,2901,5,2,4,4,31,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
217,3,6,709,4,2,3,2,27,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
218,1,47,10722,1,2,4,1,35,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
219,4,10,1287,5,5,1,2,45,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
220,1,18,1940,1,2,2,4,36,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
221,3,30,3656,5,5,1,4,49,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
222,4,24,4679,1,4,2,3,35,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
223,4,27,8613,4,3,3,2,27,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
224,1,18,2659,4,3,1,2,28,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
225,4,24,1516,4,3,1,1,43,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
226,1,18,4380,2,3,2,4,35,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
227,4,14,802,1,3,1,2,27,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
228,4,21,1572,4,5,1,4,36,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
229,2,48,3566,2,4,1,2,30,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
230,4,24,1278,1,5,1,1,36,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1
231,4,6,426,1,5,1,4,39,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
232,4,39,8588,2,5,1,2,45,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
233,1,30,3857,1,3,1,4,40,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
234,2,12,685,1,4,3,3,25,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
235,1,24,1603,1,5,1,4,55,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
236,4,21,2241,1,5,1,2,50,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
237,1,24,2384,1,5,1,4,64,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
238,4,4,601,1,2,4,3,23,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
239,4,39,2569,3,3,1,4,24,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
240,4,15,1316,3,3,3,2,47,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0
241,4,60,10366,1,5,3,4,42,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1
242,4,18,1568,2,3,2,4,24,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
243,4,18,629,3,5,1,3,32,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
244,4,6,1750,3,5,3,4,45,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
245,4,24,3488,2,4,2,4,23,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,4,18,1800,1,3,1,2,24,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
247,4,24,4151,2,3,3,3,35,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
248,2,15,2631,2,3,2,2,25,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
249,4,21,5248,5,3,4,3,26,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
250,2,18,2899,5,5,1,4,43,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
251,2,18,6204,1,3,3,4,44,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1
252,4,12,804,1,5,1,4,38,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
253,4,36,3595,1,5,1,2,28,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
254,4,36,5711,4,5,1,2,38,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
255,3,15,2687,1,4,3,4,26,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1
256,1,15,3643,1,5,4,4,27,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
257,4,10,2146,1,2,4,3,23,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
258,1,10,2315,1,5,2,4,52,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
259,4,5,3448,1,4,4,4,74,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
260,4,15,2708,1,2,3,3,27,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
261,4,11,1393,1,2,1,4,35,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
262,3,10,1275,1,2,1,2,23,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
263,4,9,1313,1,5,4,4,20,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
264,4,12,1493,1,2,1,3,34,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
265,4,22,2675,3,5,2,4,40,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
266,2,9,2118,1,3,3,2,37,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
267,4,36,909,3,5,1,4,36,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
268,4,12,1258,1,2,3,4,22,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
269,4,15,1569,2,5,1,4,34,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
270,4,6,1236,3,3,3,4,50,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
271,4,36,7678,3,4,3,4,40,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
272,4,6,660,3,4,3,4,23,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
273,4,24,2835,3,5,2,4,53,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
274,4,24,2670,1,5,1,4,35,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
275,4,12,3447,3,3,1,3,35,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
276,4,15,3568,1,5,1,2,54,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
277,2,21,3652,1,4,3,3,27,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0
278,1,24,3660,1,3,3,4,28,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
279,3,9,1126,2,5,3,4,49,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
280,3,6,683,1,2,3,1,29,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
281,3,12,2251,1,3,4,2,46,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,4,12,4675,5,2,4,4,20,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
283,2,21,2353,1,3,4,4,47,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
284,1,21,3357,4,2,1,2,29,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
285,4,6,672,1,1,4,4,54,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
286,1,6,338,3,5,1,4,52,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
287,4,9,2697,1,3,4,2,32,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
288,4,9,2507,3,5,3,4,51,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
289,4,15,1478,1,3,1,3,33,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
290,4,12,3565,5,2,3,1,37,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
291,4,15,2221,3,3,3,4,20,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
292,4,6,1898,5,3,4,2,34,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
293,2,6,1449,2,5,4,2,31,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
294,4,15,960,4,4,2,2,30,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
295,4,36,8133,1,3,4,2,30,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
296,4,9,2301,2,2,3,4,22,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
297,4,6,1743,2,3,4,2,34,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
298,2,12,983,4,2,4,4,19,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
299,4,18,2320,1,1,3,3,34,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
300,1,12,339,1,5,1,1,45,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
301,3,24,5152,1,4,1,2,25,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
302,3,24,3749,1,2,3,4,26,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303,4,9,3074,5,3,4,2,33,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
304,3,9,745,1,3,2,2,28,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
305,4,24,1469,2,5,1,4,41,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
306,1,6,1374,1,3,4,2,36,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
307,4,6,783,5,3,4,2,26,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
308,1,21,2606,1,2,1,4,28,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
309,4,54,9436,5,3,3,2,39,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
310,4,12,930,5,5,1,4,65,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
311,4,48,2751,5,5,1,3,38,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
312,4,6,250,4,3,3,2,41,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
313,2,24,1201,1,2,1,1,26,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
314,1,6,662,1,2,2,4,41,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
315,4,15,1300,5,5,1,4,45,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
316,4,24,1559,1,4,1,4,40,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
317,3,12,3016,1,3,2,1,24,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
318,4,15,1360,1,3,1,2,31,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
319,4,6,1204,2,3,1,1,35,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
320,4,10,1597,3,3,2,2,40,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
321,4,12,2073,2,3,1,2,28,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
322,4,11,2142,4,5,4,2,28,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
323,1,10,2132,5,2,3,3,27,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
324,4,10,1546,1,3,2,2,31,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
325,4,24,1287,4,5,1,4,37,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
326,4,10,1418,2,3,2,2,35,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
327,3,6,1343,1,5,4,4,46,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
328,4,18,2662,5,4,1,3,32,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
329,4,18,6070,1,5,2,4,33,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
330,4,24,1927,5,3,2,2,33,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
331,4,18,2404,1,3,3,2,26,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
332,4,6,1554,1,4,4,2,24,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
333,4,22,1283,5,4,1,4,25,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
334,4,24,717,5,5,1,4,54,2,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1
335,1,24,1747,1,2,1,1,24,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
336,1,9,1288,2,5,2,4,48,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
337,1,10,1038,1,4,1,3,49,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1
338,4,10,2848,2,3,4,2,32,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
339,4,12,1413,4,4,2,2,55,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
340,4,30,3077,5,5,2,2,40,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1
341,1,24,3632,1,3,4,4,22,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
342,4,18,3229,5,1,3,4,38,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
343,4,9,3577,2,3,4,2,26,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
344,4,12,682,2,4,1,3,51,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
345,4,10,1924,1,3,4,4,38,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
346,4,10,727,3,5,1,4,46,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1
347,3,10,781,1,5,1,4,63,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
348,1,12,2121,1,3,1,2,30,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
349,4,12,701,1,3,1,2,32,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
350,4,10,2069,5,3,3,1,26,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
351,4,24,1525,4,4,1,3,34,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
352,4,48,7629,5,5,1,2,46,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
353,1,12,3499,1,3,2,2,29,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
354,4,6,1346,2,5,3,4,42,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
355,4,36,10477,5,5,3,4,42,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
356,1,24,2924,1,3,2,4,63,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
357,4,10,1231,1,5,2,4,32,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
358,3,18,1961,1,5,2,2,23,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
359,4,15,5045,5,5,4,4,59,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
360,4,12,1255,1,5,1,4,61,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
361,1,12,1858,1,2,1,1,22,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362,4,6,1221,5,3,4,2,27,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
363,4,9,1388,1,3,1,2,26,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
364,4,12,2279,5,3,1,4,37,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
365,4,12,2759,1,5,3,4,34,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0
366,3,24,1258,3,3,2,3,57,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
367,2,12,1410,1,3,3,2,31,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1
368,1,15,1403,1,3,3,4,28,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
369,1,24,3021,1,3,3,2,24,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
370,1,24,6568,1,3,3,2,21,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
371,4,24,2578,4,5,3,2,34,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
372,2,24,7758,4,5,3,4,29,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
373,1,6,343,1,2,1,1,27,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
374,4,21,1591,2,4,1,3,34,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
375,1,27,3416,1,3,2,2,27,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
376,1,12,1108,1,4,1,3,28,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
377,2,27,5965,1,5,4,2,30,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
378,2,15,1514,2,3,1,2,22,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
379,4,30,6742,5,4,3,3,36,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
380,1,18,3650,1,2,4,4,22,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
381,1,21,3599,1,4,4,4,26,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
382,4,60,13756,5,5,3,4,63,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
383,2,9,276,1,3,1,4,22,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
384,4,42,4041,3,3,1,4,36,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1
385,2,9,458,1,3,1,3,24,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
386,2,9,918,1,3,1,1,30,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
387,4,24,7393,1,3,4,4,43,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
388,3,10,1225,1,3,3,2,37,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
389,1,24,2812,5,5,3,4,26,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
390,4,15,3029,1,4,3,2,33,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
391,3,12,1480,3,1,3,4,66,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
392,3,6,1047,1,3,3,4,50,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
393,4,15,1471,1,3,1,4,35,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1
